Name,Index,Close,Var,indic1,indic2,indic3,indic4,indic5,indic6
FUT_BITCOIN,3686,6290,0.009630819,0.7592775,0.8691373,0.9049445,0.3657706,0.2956026,0.2018785
FUT_BITCOIN,3687,6235,-0.008744038,0.63099,0.8109128,0.8626285,0.2441625,0.2540984,0.1820256
FUT_BITCOIN,3688,6175,-0.009623095,0.3938083,0.7172843,0.7945955,0.126972,0.211399,0.1611258
FUT_BITCOIN,3689,6185,0.001619433,0.2894968,0.6812229,0.7683914,0.1303231,0.2096732,0.1611344
FUT_BITCOIN,3690,6205,0.00323363,0.2776598,0.6846974,0.7709144,0.1488672,0.2135919,0.1640572
FUT_BITCOIN,3691,6210,0.0008058018,0.2552682,0.6885025,0.7760822,0.1422642,0.2089634,0.1625488
FUT_BITCOIN,3692,6230,0.003220612,-0.003944855,0.6961032,0.7942911,0.1595492,0.2128667,0.1654222
FUT_BITCOIN,3693,6200,-0.004815409,-0.3591153,0.6628665,0.779958,0.09770424,0.1887534,0.1537097
FUT_BITCOIN,3694,6225,0.004032258,-0.3938434,0.6771123,0.7923227,0.1270003,0.1961332,0.1581953
FUT_BITCOIN,3695,6210,-0.002409639,-0.4969217,0.6518895,0.7867863,0.09158994,0.1810184,0.1509897
FUT_BITCOIN,3696,6242.5,0.005233495,-0.3627465,0.6826114,0.8094089,0.1329647,0.1927885,0.1576732
FUT_BITCOIN,3697,6260,0.002803364,-0.195659,0.7213057,0.834392,0.1471239,0.1957937,0.1598812
FUT_BITCOIN,3698,6250,-0.001597444,-0.169258,0.7273195,0.839071,0.1175482,0.1835013,0.1541081
FUT_BITCOIN,3699,6285,0.0056,0.3718927,0.7769931,0.8687543,0.1600214,0.1964478,0.1614038
FUT_BITCOIN,3700,6300,0.002386635,0.6859463,0.8218299,0.8953146,0.1675799,0.1978965,0.1627988
FUT_BITCOIN,3701,6415,0.01825397,0.8429732,0.9109149,0.9476573,0.3271569,0.2541039,0.1928267
FUT_BITCOIN,3702,6240,-0.02727981,0.1923199,0.7325275,0.843717,0.02811192,0.1494028,0.1391866
FUT_BITCOIN,3703,6190,-0.008012821,-0.3821009,0.5304428,0.7545723,-0.05108476,0.1169377,0.1223871
FUT_BITCOIN,3704,6185,-0.0008077545,-0.6910504,0.4030167,0.7062824,-0.0538976,0.1102388,0.1187931
FUT_BITCOIN,3705,6185,0,-0.8455252,0.3393036,0.6821374,-0.04879005,0.1065142,0.1166957
FUT_BITCOIN,3706,6260,0.01212611,-0.5966756,0.4176193,0.725827,0.07073475,0.1438203,0.1360132
FUT_BITCOIN,3707,6265,0.000798722,-0.4505118,0.4649072,0.7513893,0.07161002,0.1416354,0.1350129
FUT_BITCOIN,3708,6210,-0.008778931,-0.6165602,0.3991202,0.7232782,-0.01938947,0.1068917,0.1169668
FUT_BITCOIN,3709,6210,0,-0.6995845,0.3662268,0.7092227,-0.01754888,0.103281,0.1149003
FUT_BITCOIN,3710,6225,0.002415459,-0.6758792,0.3664469,0.7133475,0.007087788,0.1079367,0.1171318
FUT_BITCOIN,3711,6195,-0.004819277,-0.7944614,0.3165567,0.6931049,-0.0395205,0.08801357,0.1065636
FUT_BITCOIN,3712,6140,-0.008878128,-0.8972307,0.1999451,0.6420914,-0.1200061,0.05523269,0.08911742
FUT_BITCOIN,3713,6175,0.005700326,-0.8213426,0.1999725,0.6399136,-0.05503186,0.07236271,0.09746345
FUT_BITCOIN,3714,6180,0.0008097166,-0.7652168,0.1687936,0.6425983,-0.04215402,0.07264909,0.09717651
FUT_BITCOIN,3715,6205,0.004045308,-0.6462448,0.1862926,0.6628085,0.000220341,0.08374824,0.1025373
FUT_BITCOIN,3716,6185,-0.003223207,-0.4631224,0.1139796,0.6558318,-0.0305015,0.07011998,0.09509941
FUT_BITCOIN,3717,6150,-0.005658852,-0.6515612,-0.006839981,0.6184297,-0.08133852,0.04886348,0.08357687
FUT_BITCOIN,3718,6140,-0.001626016,-0.8257806,-0.101246,0.5918236,-0.08902289,0.04183901,0.07931339
FUT_BITCOIN,3719,6145,0.0008143322,-0.8728903,-0.17853,0.5824732,-0.07292188,0.04314873,0.07935032
FUT_BITCOIN,3720,6140,-0.0008136696,-0.9364452,-0.589265,0.5738452,-0.07372473,0.03901337,0.07657063
FUT_BITCOIN,3721,6170,0.004885993,-0.7282226,-0.6855415,0.5932468,-0.02053939,0.05391395,0.08367619
FUT_BITCOIN,3722,6135,-0.005672609,-0.8641113,-0.8427708,0.5752795,-0.07250685,0.03324097,0.07239989
FUT_BITCOIN,3723,6160,0.00407498,-0.6542779,-0.8320997,0.5860587,-0.027111,0.04562122,0.0781666
FUT_BITCOIN,3724,6180,0.003246753,-0.327139,-0.7553356,0.6072586,0.006308769,0.05488563,0.08242047
FUT_BITCOIN,3725,6227.5,0.007686084,0.3364305,-0.5473107,0.655408,0.07889219,0.07862947,0.09429999
FUT_BITCOIN,3726,6215,-0.002007226,0.5330802,-0.4879411,0.6610373,0.05208578,0.06926722,0.08915269
FUT_BITCOIN,3727,6265,0.008045052,0.7665401,-0.2796848,0.7034,0.1239693,0.09382349,0.1015834
FUT_BITCOIN,3728,6265,0,0.88327,-0.1755567,0.7177713,0.1120389,0.09066556,0.09980591
FUT_BITCOIN,3729,6245,-0.003192338,0.7877889,-0.1949213,0.7070999,0.07059671,0.07689053,0.09247925
FUT_BITCOIN,3730,6250,0.0008006405,0.7785099,-0.1867464,0.7062286,0.07149796,0.07699113,0.09226207
FUT_BITCOIN,3731,6215,-0.0056,0.5046396,-0.3076589,0.6745428,0.01098698,0.05565893,0.08090589
FUT_BITCOIN,3732,6215,0,0.3677045,-0.3681152,0.6586999,0.009939991,0.05380927,0.07950038
FUT_BITCOIN,3733,6250,0.005631537,0.5684677,-0.2733433,0.6820285,0.06263616,0.07075115,0.08786519
FUT_BITCOIN,3734,6240,-0.0016,0.5919263,-0.2616716,0.6847643,0.04132906,0.06303094,0.08355333
FUT_BITCOIN,3735,6282.5,0.006810897,0.7959631,-0.1040501,0.7240785,0.1024046,0.08364444,0.09390512
FUT_BITCOIN,3736,6270,-0.001989654,0.8132358,-0.0698822,0.7325751,0.07347107,0.07416019,0.08880391
FUT_BITCOIN,3737,6325,0.00877193,0.9066179,0.1436303,0.7859305,0.15037,0.1010196,0.1024896
FUT_BITCOIN,3738,6440,0.01818182,0.953309,0.5718152,0.8929653,0.3107103,0.158841,0.1325126
FUT_BITCOIN,3739,6575,0.02096273,0.9766545,0.7859076,0.9464825,0.4843042,0.2250779,0.1674213
FUT_BITCOIN,3740,6555,-0.003041825,0.9327716,0.8474993,0.9576163,0.4062179,0.2066334,0.1588718
FUT_BITCOIN,3741,6650,0.01449275,0.9663858,0.9237497,0.9788082,0.5082876,0.2496493,0.1821346
FUT_BITCOIN,3742,6685,0.005263158,0.9831929,0.9618748,0.989404,0.5098162,0.259318,0.1884035
FUT_BITCOIN,3743,6665,-0.002991773,0.9490433,0.9445738,0.9803134,0.4295312,0.2396825,0.1794705
FUT_BITCOIN,3744,6685,0.00300075,0.9745216,0.972287,0.9901567,0.4166252,0.2417714,0.1816616
FUT_BITCOIN,3745,6740,0.008227374,0.9872608,0.9861435,0.9950784,0.4563114,0.2620541,0.1933547
FUT_BITCOIN,3746,6725,-0.002225519,0.9650589,0.9682783,0.9871585,0.3892199,0.2450003,0.1857147
FUT_BITCOIN,3747,6740,0.002230483,0.9825295,0.9841391,0.9935793,0.3727892,0.2442078,0.1863906
FUT_BITCOIN,3748,6860,0.01780416,0.9912646,0.9920695,0.9967896,0.5102329,0.2978925,0.2155335
FUT_BITCOIN,3749,6855,-0.000728863,0.9871578,0.9891382,0.9951999,0.4523036,0.2847136,0.2101681
FUT_BITCOIN,3750,6830,-0.003646973,0.9427313,0.9531897,0.9784306,0.3716197,0.2617278,0.1995117
FUT_BITCOIN,3751,6740,-0.01317716,0.7470667,0.8110776,0.912538,0.2058761,0.2061854,0.1715527
FUT_BITCOIN,3752,6665,-0.0111276,0.4092476,0.6365732,0.830867,0.07815891,0.160462,0.1482269
